p actual [kPa],if tension [mN/m],solubility [w/w],specific volume (fit) [mL/g],co2 density [g/mL],diffusivity (sqrt) [cm^2/s],diffusivity (exp) [cm^2/s]
0,30.159,0.003629261,0.872465451,0,0.00000411,0.00000267
101.4244236,30.159,0.003629261,0.872465451,0.001828971,0.00000411,0.00000267
1014.327875,25.525,0.038110637,0.873303848,0.019205589,0.00000399,0.00000503
2536.011891,18.227,0.104325779,0.875073065,0.052930289,0.00000737,0.00000782
5070.598211,8.223,0.24954569,0.880258089,0.133727175,0.0000111,0.0000688
6081.954635,4.529,0.326041673,0.884167229,0.188624236,0.00000964,0.000460305
6182.912933,4.122,0.329545273,0.884335609,0.224923768,9.64E-06,0.000460305
7586.374649,0.995,0.362301787,0.885615562,0.782843873,9.64E-06,0.000460305
10088.15733,0.672,0.382474757,0.885181975,0.831585011,9.64E-06,0.000460305
15090.6749,0.29,0.419469061,0.884049222,0.890548263,9.64E-06,0.000460305
20092.16117,0.065,0.455009297,0.882782761,0.930075216,9.64E-06,0.000460305
30092.29688,0.065,0.527081656,0.880289228,0.984966116,9.64E-06,0.000460305
40087.91129,0.065,0.605133128,0.878428804,1.020580083,9.64E-06,0.000460305
