,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],sample volume std [mL],drop volume (fit) [uL],drop volume (fit) std [uL],sample volume (fit) [mL],sample volume (fit) std [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume (fit) [mL/g],specific volume error [mL/g],specific volume error (stat) [mL/g],specific volume error (sys) [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
0,20.0,17.439556875067147,1,5.63582,1e-05,13.62221293865906,0.00038970339670794956,,,-0.00987896728602108,0.010730520216636119,1e-05,2.014842863657992,0.0008434964656107559,4.700821754058671e-05,25.4175,0.1498624369213309,3.583466666666667,0.004349201714746755,0.6933603978917177,0.0008415214963484569,,,0.6942224375625449,0.0008415214963484569,-5.780085592022033e-05,0.0009012973215309762,0.0008434964656107559,4.700821754058671e-05,0.0012186261849867377,0.0008000103071548608,1.0017198304344572,1.0029652465780883,0.010856789855197415,0.0013423810138980374,0.010773481293131,3.842939655797963e-06,4.3348870408397396e-07,4.663651248295559e-10,1.1208005453342646e-08,61728671.55815375
1,150.0,151.94516731491913,1,5.63408,1e-05,13.615480018429485,0.000370381322875416,,,0.0007934443960061105,0.0008434964656107559,4.700821754058671e-05,0.003700107198392714,0.0034572433833880145,1e-05,25.333500000000004,0.19365626764966823,3.5881999999999996,0.007556013058044096,0.694276244525337,0.0014620033358015894,,,0.6963350701029527,0.0014620033358015894,-0.0044599999999999085,0.007917243383387923,0.0034572433833880145,1e-05,0.0049759993434904766,0.0007800561257575936,0.9992695780571775,1.0022328391257511,0.010964464214959639,0.002171989224833206,0.010747182808919691,4.266558134921082e-06,5.038670244296447e-07,4.278088319263615e-06,4.921643790672228e-07,6746.985803590544
2,500.0,494.80126492594025,1,5.62838,1e-05,13.595992470078906,0.0011218677566339015,,,0.0015189699851817682,0.0034572433833880145,1e-05,0.020837069572022266,0.012689157119790528,1e-05,24.5275,0.1659781612140584,3.6408,0.004245782220824212,0.7044537514820377,0.0008215109902865727,,,0.7023175108106137,0.0008215109902865727,-0.013559999999999128,0.026249157119789656,0.012689157119790528,1e-05,0.018023970399183843,0.0017005105071610147,1.0006222985846251,0.9975879332391737,0.01094312787409303,0.0019774180705814013,0.010762985898108849,2.827672713919412e-06,3.168332219692447e-07,1.533137932826299e-06,5.738492086908217e-07,19382.896409179608
3,1000.0,997.5660768360124,1,5.62176,1e-05,13.570183540069925,0.0019400365106344432,,,0.0,0.012689157119790528,1e-05,0.02187287190989301,0.021119415504127922,1e-05,23.496000000000002,0.13406714735534592,3.666066666666666,0.010999797977942836,0.7093425666107948,0.002128336890547781,,,0.7126418029248912,0.002128336890547781,-0.03324000000000016,0.05435941550412808,0.021119415504127922,1e-05,0.029643535666328925,0.0028099047148877508,0.9956441109301749,1.0002749696454385,0.011449615085093947,0.004035543187470383,0.010714853091800758,0.0,,4.999307896137997e-06,5.612807515308187e-07,6026.943088139536
4,2000.0,1986.4821399201187,1,5.60279,1e-05,13.508192986504893,0.004569752625098564,,,0.004970681302051511,0.021119415504127922,1e-05,0.04594676098369439,0.046414762728161696,3.9683405094258376e-05,20.825499999999998,0.13131926743627537,3.8328,0.01610465771135792,0.7416035867612486,0.0031160696937761515,,,0.7383329531546036,0.0031160696937761515,-0.06928999999999945,0.11570476272816115,0.046414762728161696,3.9683405094258376e-05,0.06291469099975235,0.006291228116827166,1.0052353553685809,1.0008020481481903,0.01319925139256843,0.007527341655158393,0.01084247964861991,6.163457027189657e-06,6.923576714596851e-07,6.852432431545319e-06,7.694914571887407e-07,4806.111174103143
5,3000.0,2982.229637808594,1,5.58059,1e-05,13.443095648336794,0.005322785639746364,,,0.006529622081473513,0.046414762728161696,3.9683405094258376e-05,0.07466947130288765,0.07443883380320546,4.852799038260837e-05,17.976000000000003,0.09876234100101124,3.9799999999999995,0.010360180178613327,0.7700851271419769,0.0020045780578043302,,,0.7714140428990783,0.0020045780578043302,-0.11262008805283105,0.1870589218560365,0.07443883380320546,4.852799038260837e-05,0.09720841599505547,0.00713815327206093,1.0056411629006328,1.0073765715460747,0.0132081754423864,0.007467529203762601,0.010894581502187766,8.34238043506536e-06,9.358683423274694e-07,8.596732824820746e-06,9.637283383464598e-07,4130.845702418946
6,4000.0,3982.246618795095,1,5.554469999999999,1e-05,13.364285942084962,0.00645724940247847,,,0.010226674129008465,0.07443883380320546,4.852799038260837e-05,0.11029287058027488,0.10906560299635545,4.7234528451573186e-05,14.964500000000001,0.14881112189618095,4.169733333333334,0.02500257764489273,0.8067963879769195,0.004837716880538787,,,0.8119208797835665,0.004837716880538787,-0.16418999999999925,0.2732556029963547,0.10906560299635545,4.7234528451573186e-05,0.13626521855729426,0.00842667435581198,1.0080014515904177,1.0144039284194428,0.01497254133013113,0.010156295636188474,0.011001211425694163,9.870029280456986e-06,1.1121427388636417e-06,9.112272116935386e-06,1.0262850687690965e-06,4277.5603078431495
7,5000.0,4977.49201844809,1,5.52233,1e-05,13.26392423261237,0.007180470708205559,,,0.015604494426041228,0.10906560299635545,4.7234528451573186e-05,0.1385005065066123,0.15251486509283402,0.0001861527361936409,11.729499999999998,0.07123727956624977,4.405666666666667,0.020632229372728596,0.8524468279259221,0.003992103763748777,,,0.8594817641760872,0.003992103763748777,-0.22956036597569723,0.38207523106853125,0.15251486509283402,0.0001861527361936409,0.1807387903173204,0.009127071608241243,1.010197979032322,1.018534778642251,0.014877461252015507,0.009841235077671597,0.011157461425038805,1.1234926029157148e-05,1.2662820759733943e-06,3.2482420057761745e-05,3.7098688444719467e-06,1339.618544958629
8,6100.0,6074.496066982902,4.235166318050879,5.47115,1e-05,13.085551717659463,0.01714396596901925,,,0.035852317055492564,0.15251486509283402,0.0001861527361936409,0.1839146782925132,0.21771288856526327,0.00044226884879269867,,,1.1980666666666666,0.010135526078546144,0.9327577766537198,0.007891038982449918,,,0.9202821299974101,0.007891038982449918,-0.3376351875669883,0.5553480761322516,0.21771288856526327,0.00044226884879269867,0.23949775395362022,0.020148093049869812,1.0260917209059597,1.012367731605209,0.0242659726050371,0.02130952568558551,0.011607822428163795,9.637190311570084e-06,1.1005116673622738e-06,0.0004603047589389738,5.2132561570318386e-05,113.18456952637447
9,5600.0,5611.83985416712,1.0142135736381281,5.49582,1e-05,13.207570654149938,0.008100693754940656,,,-0.015841346362227,0.21771288856526327,0.00044226884879269867,0.19378630483276432,0.19268128943146656,0.00011982004218540351,,,1.1584666666666668,0.006868931665275304,0.9019270983758105,0.005347823795076951,,,0.8935687579094833,0.005347823795076951,-0.28163692702760557,0.47431821645907213,0.19268128943146656,0.00011982004218540351,0.21796334228516043,0.010088234886843274,1.0202705485291608,1.010815495423727,0.0159840628688036,0.011200729094089569,0.01140324223870919,2.0856906085342134e-05,2.469571045653011e-06,4.059179193632492e-05,4.571374092398569e-06,1200.050655363001
